Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,3.440000,3.440000,3.440000,3.440000,0.812183,0
1980-01-03,3.500000,3.500000,3.500000,3.500000,0.826349,0
1980-01-04,3.500000,3.500000,3.500000,3.500000,0.826349,0
1980-01-07,3.590000,3.590000,3.590000,3.590000,0.847598,0
1980-01-08,3.630000,3.630000,3.630000,3.630000,0.857042,0
1980-01-09,3.680000,3.680000,3.680000,3.680000,0.868847,0
1980-01-10,3.680000,3.680000,3.680000,3.680000,0.868847,0
1980-01-11,3.700000,3.700000,3.700000,3.700000,0.873569,0
1980-01-14,3.720000,3.720000,3.720000,3.720000,0.878291,0
1980-01-15,3.730000,3.730000,3.730000,3.730000,0.880652,0
1980-01-16,3.710000,3.710000,3.710000,3.710000,0.875930,0
1980-01-17,3.700000,3.700000,3.700000,3.700000,0.873569,0
1980-01-18,3.700000,3.700000,3.700000,3.700000,0.873569,0
1980-01-21,3.690000,3.690000,3.690000,3.690000,0.871208,0
1980-01-22,3.740000,3.740000,3.740000,3.740000,0.883013,0
1980-01-23,3.780000,3.780000,3.780000,3.780000,0.892457,0
1980-01-24,3.780000,3.780000,3.780000,3.780000,0.892457,0
1980-01-25,3.810000,3.810000,3.810000,3.810000,0.899540,0
1980-01-28,3.790000,3.790000,3.790000,3.790000,0.894818,0
1980-01-29,3.790000,3.790000,3.790000,3.790000,0.894818,0
1980-01-30,3.830000,3.830000,3.830000,3.830000,0.904262,0
1980-01-31,3.820000,3.820000,3.820000,3.820000,0.901901,0
1980-02-01,3.840000,3.840000,3.840000,3.840000,0.906623,0
1980-02-04,3.820000,3.820000,3.820000,3.820000,0.901901,0
1980-02-05,3.820000,3.820000,3.820000,3.820000,0.901901,0
1980-02-06,3.840000,3.840000,3.840000,3.840000,0.906623,0
1980-02-07,3.870000,3.870000,3.870000,3.870000,0.913706,0
1980-02-08,3.910000,3.910000,3.910000,3.910000,0.923150,0
1980-02-11,3.890000,3.890000,3.890000,3.890000,0.918428,0
1980-02-12,3.890000,3.890000,3.890000,3.890000,0.918428,0
1980-02-13,3.910000,3.910000,3.910000,3.910000,0.923150,0
1980-02-14,3.870000,3.870000,3.870000,3.870000,0.913706,0
1980-02-15,3.840000,3.840000,3.840000,3.840000,0.906623,0
1980-02-19,3.810000,3.810000,3.810000,3.810000,0.899540,0
1980-02-20,3.850000,3.850000,3.850000,3.850000,0.908984,0
1980-02-21,3.820000,3.820000,3.820000,3.820000,0.901901,0
1980-02-22,3.820000,3.820000,3.820000,3.820000,0.901901,0
1980-02-25,3.780000,3.780000,3.780000,3.780000,0.892457,0
1980-02-26,3.810000,3.810000,3.810000,3.810000,0.899540,0
1980-02-27,3.780000,3.780000,3.780000,3.780000,0.892457,0
1980-02-28,3.770000,3.770000,3.770000,3.770000,0.890096,0
1980-02-29,3.780000,3.780000,3.780000,3.780000,0.892457,0
1980-03-03,3.760000,3.760000,3.760000,3.760000,0.887735,0
1980-03-04,3.730000,3.730000,3.730000,3.730000,0.880652,0
1980-03-05,3.670000,3.670000,3.670000,3.670000,0.866486,0
1980-03-06,3.590000,3.590000,3.590000,3.590000,0.847598,0
1980-03-07,3.540000,3.540000,3.540000,3.540000,0.835793,0
1980-03-10,3.490000,3.490000,3.490000,3.490000,0.823988,0
1980-03-11,3.540000,3.540000,3.540000,3.540000,0.835793,0
1980-03-12,3.520000,3.520000,3.520000,3.520000,0.831071,0
1980-03-13,3.500000,3.500000,3.500000,3.500000,0.826349,0
1980-03-14,3.500000,3.500000,3.500000,3.500000,0.826349,0
1980-03-17,3.380000,3.380000,3.380000,3.380000,0.798017,0
1980-03-18,3.380000,3.380000,3.380000,3.380000,0.798017,0
1980-03-19,3.410000,3.410000,3.410000,3.410000,0.805100,0
1980-03-20,3.380000,3.380000,3.380000,3.380000,0.798017,0
1980-03-21,3.370000,3.370000,3.370000,3.370000,0.795656,0
1980-03-24,3.270000,3.270000,3.270000,3.270000,0.772046,0
1980-03-25,3.200000,3.200000,3.200000,3.200000,0.755520,0
1980-03-26,3.180000,3.180000,3.180000,3.180000,0.750798,0
1980-03-27,3.050000,3.050000,3.050000,3.050000,0.720104,0
1980-03-28,3.190000,3.190000,3.190000,3.190000,0.753158,0
1980-03-31,3.240000,3.240000,3.240000,3.240000,0.764963,0
1980-04-01,3.300000,3.300000,3.300000,3.300000,0.779129,0
1980-04-02,3.330000,3.330000,3.330000,3.330000,0.786213,0
1980-04-03,3.330000,3.330000,3.330000,3.330000,0.786213,0
1980-04-07,3.250000,3.250000,3.250000,3.250000,0.767324,0
1980-04-08,3.260000,3.260000,3.260000,3.260000,0.769685,0
1980-04-09,3.290000,3.290000,3.290000,3.290000,0.776768,0
1980-04-10,3.330000,3.330000,3.330000,3.330000,0.786213,0
1980-04-11,3.340000,3.340000,3.340000,3.340000,0.788573,0
1980-04-14,3.310000,3.310000,3.310000,3.310000,0.781490,0
1980-04-15,3.290000,3.290000,3.290000,3.290000,0.776768,0
1980-04-16,3.250000,3.250000,3.250000,3.250000,0.767324,0
1980-04-17,3.230000,3.230000,3.230000,3.230000,0.762602,0
1980-04-18,3.220000,3.220000,3.220000,3.220000,0.760241,0
1980-04-21,3.160000,3.160000,3.160000,3.160000,0.746075,0
1980-04-22,3.290000,3.290000,3.290000,3.290000,0.776768,0
1980-04-23,3.310000,3.310000,3.310000,3.310000,0.781490,0
1980-04-24,3.330000,3.330000,3.330000,3.330000,0.786213,0
1980-04-25,3.330000,3.330000,3.330000,3.330000,0.786213,0
1980-04-28,3.340000,3.340000,3.340000,3.340000,0.788573,0
1980-04-29,3.350000,3.350000,3.350000,3.350000,0.790934,0
1980-04-30,3.360000,3.360000,3.360000,3.360000,0.793295,0
1980-05-01,3.350000,3.350000,3.350000,3.350000,0.790934,0
1980-05-02,3.370000,3.370000,3.370000,3.370000,0.795656,0
1980-05-05,3.390000,3.390000,3.390000,3.390000,0.800378,0
1980-05-06,3.400000,3.400000,3.400000,3.400000,0.802739,0
1980-05-07,3.430000,3.430000,3.430000,3.430000,0.809822,0
1980-05-08,3.420000,3.420000,3.420000,3.420000,0.807461,0
1980-05-09,3.390000,3.390000,3.390000,3.390000,0.800378,0
1980-05-12,3.380000,3.380000,3.380000,3.380000,0.798017,0
1980-05-13,3.410000,3.410000,3.410000,3.410000,0.805100,0
1980-05-14,3.450000,3.450000,3.450000,3.450000,0.814544,0
1980-05-15,3.460000,3.460000,3.460000,3.460000,0.816905,0
1980-05-16,3.480000,3.480000,3.480000,3.480000,0.821627,0
1980-05-19,3.500000,3.500000,3.500000,3.500000,0.826349,0
1980-05-20,3.490000,3.490000,3.490000,3.490000,0.823988,0
